Date,Adj Close,Close,High,Low,Open,Volume
2021-04-12,121.51483154296875,124.51000213623047,125.24500274658203,123.41999816894531,124.6449966430664,1343400
2021-04-13,121.1781234741211,124.16500091552734,124.91999816894531,122.81999969482422,124.91999816894531,1305000
2021-04-14,120.9634017944336,123.94499969482422,124.76000213623047,123.38999938964844,124.4800033569336,1034800
2021-04-15,122.03695678710938,125.04499816894531,125.68499755859375,123.6050033569336,124.54000091552734,1113400
2021-04-16,122.66155242919922,125.68499755859375,126.69000244140625,125.59500122070312,125.9749984741211,1512800
2021-04-19,120.97317504882812,123.95500183105469,125.70500183105469,123.50499725341797,125.66999816894531,1216800
2021-04-20,120.84141540527344,123.81999969482422,125.74500274658203,122.82499694824219,124.95500183105469,1200000
2021-04-21,120.3827133178711,123.3499984741211,125.05000305175781,122.54499816894531,123.80500030517578,2034200
2021-04-22,122.3590087890625,125.375,127.55500030517578,123.5,123.5,2113400
2021-04-23,125.77970886230469,128.8800048828125,129.6300048828125,126.3550033569336,126.3550033569336,1575400
2021-04-26,123.69605255126953,126.74500274658203,129.73500061035156,126.04499816894531,129.3350067138672,1251200
2021-04-27,126.07247161865234,129.17999267578125,129.3300018310547,127.05000305175781,127.45500183105469,1026600
2021-04-28,125.51619720458984,128.61000061035156,129.33999633789062,127.72000122070312,128.60499572753906,992200
2021-04-29,126.53604888916016,129.65499877929688,130.0500030517578,128.05999755859375,129.35499572753906,666000
2021-04-30,125.8041000366211,128.90499877929688,130.5850067138672,128.375,129.35000610351562,936600
2021-05-03,127.68766784667969,130.8350067138672,131.4550018310547,129.11000061035156,129.40499877929688,1039600
2021-05-04,129.19058227539062,132.375,132.80499267578125,130.02499389648438,130.16000366210938,1160800
2021-05-05,128.88807678222656,132.06500244140625,133.17999267578125,131.27999877929688,133.17999267578125,745600
2021-05-06,129.29306030273438,132.47999572753906,132.56500244140625,130.67999267578125,132.14500427246094,833000
2021-05-07,131.54263305664062,134.78500366210938,134.9550018310547,131.89500427246094,133.0500030517578,722000
2021-05-10,131.81588745117188,135.06500244140625,138.0449981689453,134.8699951171875,135.19500732421875,1138200
2021-05-11,128.8929443359375,132.07000732421875,134.0,130.74000549316406,133.6750030517578,1591000
2021-05-12,125.10627746582031,128.19000244140625,131.68499755859375,128.1300048828125,131.4499969482422,1745000
2021-05-13,128.8100128173828,131.98500061035156,132.25999450683594,128.24000549316406,128.24000549316406,1222200
2021-05-14,131.54263305664062,134.78500366210938,135.3300018310547,132.2100067138672,132.7100067138672,763600
2021-05-17,131.86473083496094,135.11500549316406,135.77499389648438,134.14999389648438,134.14999389648438,1010400
2021-05-18,129.32235717773438,132.50999450683594,135.72500610351562,132.4250030517578,135.35499572753906,1358600
2021-05-19,128.89784240722656,132.0749969482422,132.4199981689453,129.25999450683594,130.49000549316406,1562600
2021-05-20,129.11740112304688,132.3000030517578,133.65499877929688,132.2100067138672,132.93499755859375,898400
2021-05-21,128.30738830566406,131.47000122070312,133.73500061035156,131.2899932861328,132.47999572753906,1484400
2021-05-24,129.16131591796875,132.34500122070312,132.625,131.08999633789062,132.1300048828125,1581800
2021-05-25,127.5217514038086,130.6649932861328,134.25,130.4550018310547,132.85000610351562,1415400
2021-05-26,128.17564392089844,131.3350067138672,131.7100067138672,129.3000030517578,130.84500122070312,1117800
2021-05-27,128.98081970214844,132.16000366210938,134.2100067138672,130.84500122070312,130.92999267578125,5651000
2021-05-28,129.53224182128906,132.72500610351562,132.9250030517578,130.91000366210938,132.35000610351562,1233200
2021-06-01,130.80189514160156,133.9250030517578,134.625,133.46499633789062,134.30999755859375,1271000
2021-06-02,128.63853454589844,131.7100067138672,134.5399932861328,130.92999267578125,134.44500732421875,1396600
2021-06-03,129.00967407226562,132.08999633789062,133.09500122070312,129.7449951171875,131.1999969482422,1731200
2021-06-04,127.10026550292969,130.13499450683594,132.9550018310547,128.02000427246094,132.6699981689453,1443200
2021-06-07,124.17998504638672,127.1449966430664,130.97500610351562,126.17500305175781,130.77000427246094,1704200
2021-06-08,124.7220458984375,127.69999694824219,128.1999969482422,126.12999725341797,127.62000274658203,1393800
2021-06-09,121.97269439697266,124.88500213623047,128.0800018310547,124.6050033569336,127.77999877929688,2082800
2021-06-10,121.30855560302734,124.20500183105469,125.95500183105469,123.80500030517578,125.73500061035156,1385400
2021-06-11,122.58800506591797,125.51499938964844,126.12999725341797,124.58000183105469,124.58000183105469,1315000
2021-06-14,122.14847564697266,125.06500244140625,126.63500213623047,124.51000213623047,126.0,1062000
2021-06-15,123.75025939941406,126.70500183105469,127.21499633789062,124.91000366210938,125.4800033569336,1033800
2021-06-16,123.27656555175781,126.22000122070312,126.92500305175781,125.06500244140625,126.80999755859375,934200
2021-06-17,121.689453125,124.59500122070312,126.66999816894531,122.94499969482422,126.29000091552734,1083000
2021-06-18,120.30256652832031,123.17500305175781,124.37000274658203,122.77999877929688,123.38999938964844,1751200
2021-06-21,122.7686767578125,125.69999694824219,126.03500366210938,123.7249984741211,124.08000183105469,995000
2021-06-22,123.51585388183594,126.46499633789062,127.79000091552734,125.4749984741211,126.01499938964844,993000
2021-06-23,123.53050231933594,126.4800033569336,127.56999969482422,125.58499908447266,126.42500305175781,642200
2021-06-24,123.11052703857422,126.05000305175781,127.87999725341797,125.66999816894531,127.18499755859375,1045800
2021-06-25,123.84793090820312,126.80500030517578,127.9749984741211,125.91500091552734,126.18499755859375,2427600
2021-06-28,124.80994415283203,127.79000091552734,127.8550033569336,125.55500030517578,126.71499633789062,1065200
2021-06-29,124.54137420654297,127.51499938964844,128.22999572753906,127.04000091552734,127.63500213623047,1208800
2021-06-30,123.94071197509766,126.9000015258789,127.94999694824219,126.54499816894531,127.44999694824219,1778200
2021-07-01,125.99174499511719,129.0,129.30499267578125,126.67500305175781,127.06999969482422,1513400
2021-07-02,125.99174499511719,129.0,129.80499267578125,128.69000244140625,129.55499267578125,981000
2021-07-06,124.29718780517578,127.26499938964844,129.42999267578125,125.75,128.94000244140625,1382400
2021-07-07,126.56309509277344,129.5850067138672,129.7949981689453,127.2699966430664,127.62000274658203,1305000
2021-07-08,125.22992706298828,128.22000122070312,129.52000427246094,125.73999786376953,127.81999969482422,1200200
2021-07-09,127.25166320800781,130.2899932861328,130.56500244140625,128.9199981689453,129.68499755859375,1277400
2021-07-12,125.80616760253906,128.80999755859375,130.2949981689453,128.02999877929688,129.86000061035156,1311600
2021-07-13,125.78662872314453,128.7899932861328,129.6649932861328,127.91000366210938,129.55499267578125,1004400
2021-07-14,126.36286926269531,129.3800048828125,130.02499389648438,127.9749984741211,129.00999450683594,996200
2021-07-15,126.38727569580078,129.40499877929688,130.6699981689453,127.80999755859375,128.26499938964844,826600
2021-07-16,124.00908660888672,126.97000122070312,130.02000427246094,126.7300033569336,129.41000366210938,1499600
2021-07-19,122.15827178955078,125.07499694824219,125.47000122070312,123.33999633789062,125.2699966430664,1166400
2021-07-20,123.56956481933594,126.5199966430664,127.6449966430664,125.0250015258789,125.4000015258789,1144400
2021-07-21,124.23860168457031,127.20500183105469,127.44499969482422,125.44000244140625,126.98500061035156,865600
2021-07-22,124.6927490234375,127.66999816894531,128.21499633789062,127.0999984741211,127.63500213623047,580600
2021-07-23,127.49580383300781,130.5399932861328,130.75,127.21499633789062,127.75499725341797,833600
2021-07-26,126.37261962890625,129.38999938964844,131.53500366210938,129.0850067138672,130.5800018310547,900600
2021-07-27,126.61190795898438,129.63499450683594,131.22500610351562,128.1649932861328,128.8800048828125,1573600
2021-07-28,126.49472045898438,129.51499938964844,129.6699981689453,125.1500015258789,126.7300033569336,1652000
2021-07-29,130.87022399902344,133.9949951171875,136.69000244140625,129.875,130.44000244140625,1346200
2021-07-30,131.43670654296875,134.5749969482422,134.90499877929688,132.84500122070312,133.5850067138672,1014000
2021-08-02,130.2842559814453,133.39500427246094,135.1999969482422,133.16000366210938,134.61000061035156,885400
2021-08-03,133.71725463867188,136.91000366210938,136.97000122070312,132.65499877929688,132.7449951171875,1061400
2021-08-04,132.027587890625,135.17999267578125,137.06500244140625,134.86000061035156,136.9949951171875,979600
2021-08-05,132.92127990722656,136.09500122070312,137.39500427246094,135.44500732421875,135.9499969482422,776800
2021-08-06,133.18008422851562,136.36000061035156,136.94000244140625,135.60000610351562,136.48500061035156,525800
2021-08-09,132.92127990722656,136.09500122070312,136.61000061035156,134.9600067138672,136.4499969482422,585800
2021-08-10,133.0287322998047,136.2050018310547,137.7100067138672,135.875,136.34500122070312,829800
2021-08-11,134.94297790527344,138.1649932861328,138.2899932861328,136.0,136.26499938964844,824200
2021-08-12,136.2712860107422,139.52499389648438,140.0800018310547,137.76499938964844,137.76499938964844,635600
2021-08-13,137.22354125976562,140.5,140.83999633789062,138.77999877929688,139.39999389648438,658400
2021-08-16,137.55563354492188,140.83999633789062,140.9250030517578,138.5050048828125,139.72000122070312,683400
2021-08-17,136.63754272460938,139.89999389648438,140.4250030517578,137.60499572753906,140.4250030517578,667800
2021-08-18,135.0113525390625,138.23500061035156,141.07000732421875,138.00999450683594,139.1699981689453,1126800
2021-08-19,136.49595642089844,139.7550048828125,139.9149932861328,136.36500549316406,137.01499938964844,1001200
2021-08-20,137.9609375,141.2550048828125,141.9949951171875,139.65499877929688,139.94000244140625,783800
2021-08-23,138.75694274902344,142.07000732421875,143.46499633789062,141.42999267578125,141.69000244140625,710400
2021-08-24,139.43572998046875,142.76499938964844,143.5399932861328,141.9550018310547,142.63999938964844,533200
2021-08-25,139.69456481933594,143.02999877929688,143.68499755859375,142.36500549316406,142.375,701000
2021-08-26,139.71408081054688,143.0500030517578,143.8350067138672,141.875,143.8350067138672,883800
2021-08-27,141.51116943359375,144.88999938964844,146.28500366210938,142.5749969482422,143.2100067138672,876400
2021-08-30,143.4938507080078,146.9199981689453,147.2449951171875,143.8800048828125,144.88999938964844,859600
2021-08-31,141.08958435058594,144.36000061035156,147.38499450683594,144.0749969482422,146.7899932861328,2022400
